,date,canton,new_cases,total_cases,new_deaths,total_deaths
2384,2020-06-02,BL,0.0,0.0,0.0,0.0
2385,2020-06-02,FR,0.0,0.0,0.0,0.0
2386,2020-06-02,GR,0.0,0.0,0.0,0.0
2387,2020-06-02,JU,0.0,0.0,0.0,0.0
2388,2020-06-02,NE,0.0,0.0,0.0,0.0
2389,2020-06-02,NW,0.0,0.0,0.0,0.0
2390,2020-06-02,SG,0.0,0.0,0.0,0.0
2391,2020-06-02,VD,0.0,0.0,0.0,0.0
2392,2020-06-02,VS,0.0,0.0,0.0,0.0
2394,2020-06-02,GE,0.0,0.0,0.0,0.0
2395,2020-06-02,OW,0.0,0.0,0.0,0.0
2396,2020-06-02,SO,0.0,0.0,0.0,0.0
2397,2020-06-02,AG,0.0,0.0,0.0,0.0
2398,2020-06-02,BE,0.0,0.0,0.0,0.0
2399,2020-06-02,TI,0.0,0.0,0.0,0.0
2400,2020-06-02,ZG,0.0,0.0,0.0,0.0
2401,2020-06-02,SH,0.0,0.0,0.0,0.0
2402,2020-06-02,BS,0.0,0.0,0.0,0.0
2403,2020-06-02,SZ,0.0,0.0,0.0,0.0
2404,2020-06-02,TG,0.0,0.0,0.0,0.0
2405,2020-06-02,AR,0.0,0.0,0.0,0.0
2406,2020-06-02,GL,0.0,0.0,0.0,0.0
2407,2020-06-02,ZH,0.0,0.0,0.0,0.0
2408,2020-06-02,UR,0.0,0.0,0.0,0.0
2409,2020-06-03,BL,1.0,1.0,0.0,0.0
2410,2020-06-03,FR,1.0,1.0,0.0,0.0
2411,2020-06-03,GR,1.0,1.0,0.0,0.0
2412,2020-06-03,JU,0.0,0.0,0.0,0.0
2413,2020-06-03,LU,0.0,0.0,0.0,0.0
2414,2020-06-03,NE,3.0,3.0,0.0,0.0
2415,2020-06-03,NW,0.0,0.0,0.0,0.0
2416,2020-06-03,SG,0.0,0.0,0.0,0.0
2417,2020-06-03,VD,2.0,2.0,0.0,0.0
2418,2020-06-03,VS,0.0,0.0,0.0,0.0
2420,2020-06-03,GE,2.0,2.0,0.0,0.0
2421,2020-06-03,OW,0.0,0.0,0.0,0.0
2422,2020-06-03,SO,2.0,2.0,0.0,0.0
2423,2020-06-03,AG,1.0,1.0,0.0,0.0
2424,2020-06-03,AR,0.0,0.0,0.0,0.0
2425,2020-06-03,BE,1.0,1.0,0.0,0.0
2426,2020-06-03,TI,0.0,0.0,0.0,0.0
2427,2020-06-03,ZG,0.0,0.0,0.0,0.0
2428,2020-06-03,SH,0.0,0.0,0.0,0.0
2429,2020-06-03,SZ,0.0,0.0,0.0,0.0
2430,2020-06-03,TG,0.0,0.0,0.0,0.0
2431,2020-06-03,BS,1.0,1.0,0.0,0.0
2432,2020-06-03,AI,0.0,0.0,0.0,0.0
2433,2020-06-03,GL,0.0,0.0,0.0,0.0
2434,2020-06-03,ZH,3.0,3.0,0.0,0.0
2435,2020-06-04,BL,0.0,1.0,0.0,0.0
2436,2020-06-04,FR,2.0,3.0,0.0,0.0
2437,2020-06-04,GR,0.0,1.0,0.0,0.0
2438,2020-06-04,JU,0.0,0.0,0.0,0.0
2439,2020-06-04,LU,0.0,0.0,0.0,0.0
2440,2020-06-04,NE,1.0,4.0,0.0,0.0
2441,2020-06-04,NW,0.0,0.0,0.0,0.0
2442,2020-06-04,SG,0.0,0.0,0.0,0.0
2443,2020-06-04,VD,3.0,5.0,0.0,0.0
2444,2020-06-04,VS,2.0,2.0,0.0,0.0
2446,2020-06-04,GE,2.0,4.0,0.0,0.0
2447,2020-06-04,OW,0.0,0.0,0.0,0.0
2448,2020-06-04,SO,1.0,3.0,0.0,0.0
2449,2020-06-04,AG,2.0,3.0,0.0,0.0
2450,2020-06-04,BE,3.0,4.0,0.0,0.0
2451,2020-06-04,TI,1.0,1.0,0.0,0.0
2452,2020-06-04,ZG,0.0,0.0,0.0,0.0
2453,2020-06-04,AR,0.0,0.0,0.0,0.0
2454,2020-06-04,SH,0.0,0.0,0.0,0.0
2455,2020-06-04,BS,0.0,1.0,0.0,0.0
2456,2020-06-04,SZ,0.0,0.0,0.0,0.0
2457,2020-06-04,TG,0.0,0.0,0.0,0.0
2458,2020-06-04,GL,0.0,0.0,0.0,0.0
2459,2020-06-04,ZH,8.0,11.0,0.0,0.0
2460,2020-06-05,BL,0.0,1.0,0.0,0.0
2461,2020-06-05,FR,2.0,5.0,0.0,0.0
2462,2020-06-05,GR,0.0,1.0,0.0,0.0
2463,2020-06-05,JU,0.0,0.0,0.0,0.0
2464,2020-06-05,LU,0.0,0.0,0.0,0.0
2465,2020-06-05,NE,1.0,5.0,0.0,0.0
2466,2020-06-05,NW,0.0,0.0,0.0,0.0
